number,네이버 장점,네이버 단점,카카오 장점,카카오 단점,라인 장점,라인 단점,쿠팡 장점,쿠팡 단점,배민 장점,배민 단점,페이스북 장점,페이스북 단점,아마존 장점,아마존 단점,애플 장점,애플 단점,넷플릭스 장점,넷플릭스 단점,구글 장점,구글 단점
47,수직적인 대기업에서 근무하다 네이버로 오고 느낀점은 직원들을 진심으로 생각하는 운영 방식이다. 물론 100% 만족할 수는 없지만 애초에 회사가 그럴 필요도 없을 뿐더러 대다수의 타 그룹이 위에서 찍어누르는 모습만 보다 만난 네이버는 정말 따뜻하다.,"기업 규모에 비해 체계가 정말 부족하고, 조직개편이 잦다. 잦은 조직개편도 체계가 부족해서 생기는 일이라고 생각한다.",유연근무제가 있고 워라벨이 좋음. 편안히 다니기는 좋음.,동종업계보다 급여와 급여 인상율 낮음 복지가 줄어들고 있음 무능한 경영진,"영원한 풀재택, 뛰어난 동료들, 존중하는 문화, 좋은 복지",뛰어난 임직원들의 능력을 제대로 써먹지 못하는 경영진들,최고의 장점 재택근무 그거말고는 별다른 복지는 모르겠네요,회사에 갑자기 인도인이 많아지는느낌 ;; 한국사람나가면 인도인이 오는듯," 유능하고 매너 있는 동료들
가족에게 좋은 복지
커리어 향상 기회","일이 많음… 쳐내도쳐내도 끝나지 않는 일
내부 정책 등이 너무 복잡함
규모가 커지면서 대기업화가 진행되는 듯 함","수평적인 문화
커리어성장
워라벨
복지 등 굉장히 좋음
업무량 괜찮음",딱히 없음. 이직률도 그다지 높지 않아서 오래 다니고 싶은 사람에게 추천하는,국내 기업만 다니다보니 새로운 환경이 어색하지만 새롭기 때문에 좋기도 함. 이직 시 조금 유지할 것 같기도 함.,낯선 문화. 생각보다 적은 급여. 업무가 많음. 외국어 못하면 힘듦.,"내가 기여하는 제품을 지나가는 많은 사람들이 매일 쓰고 있는 것을 보면 뿌듯하고 행복하다.
부서마다 다르지만 엔지니어들은 한국에 부서가 따로 있지 않고 매니저가 미국에 있는 경우가 많다. 상사와 동료들이 사무실에 같이 없기 때문에 아무래도 사람으로 스트레스 받을 일이 적고 마음의 평화가 있다.
같은 공간의 사람들은 사무실만 공유할 뿐 일적으로 엮이지 않기 때문에 사이가 좋거나 서로 잘 모른다.
쿠퍼티노 업무 시작 전에 마쳐놓으면 되는 일들이 많아서 낮에 내 시간이 많고 여유롭고 워라밸이 좋다.
성과가 좋으면 많은 주식을 주고 그 주식이 아직까지는 많이 오른다.
팀원들과 서로 경쟁을 하는 느낌이 아니라 신뢰하고 서로 도우며 함께 으쌰으쌰하는 기분이 든다. 업무 관련 질문에 서로 친절히 잘 알려준다.
성격 모난 사람 본적이 별로 없다.
출장이 많다.
애플 제품 할인이 된다.","최고의 회사에 다니지만 자랑을 할 수가 없다.
비밀이 많은 회사라 항상 말조심을 해야 한다.
새로운 제품에 대해 물어보면 대답은 몰라도 몰라요, 알아도 몰라요이니 폰 깨졌는데 바꿀까 기다릴까 물어보지 말자.
같은 팀이 아닌 한 서로 무슨일 하는지 잘 모른다.
심지어 서로의 레벨도 모르고 승진을 해도 비밀이다.
시간차 때문에 밤 늦게 또는 아침 일찍 이메일을 가끔 체크해야 업무가 딜레이 없이 원활하다.
모바일기기기와 OS를 만드는 회사인만큼 오래 다니면 다른 회사로 이직하기에는 어려워지는 느낌이 들 때도 있다.
회사에서 밥을 공짜로 주지 않는다 (쿠퍼티노도 마찬가지) 대신 드넓은 삼성동과 코엑스가 있어서 먹고 싶은 것 마음대로 먹는다.
지인들이 애플 할인 때문에 나와 친구관계를 유지하나 생각이 들 때가 있다.
주식 세금 제대로 안 내면 국세청한테 혼난다.
젊은 피가 많다는 리뷰도 보이는데 엔지니어쪽은 대부분 경력 많이 쌓고 들어와서 나이가 많다.
출장이 많다. (장점일 수도 단점일 수도)","핫한 브랜드 벨류
귀감이 되는 뛰어난 동료들
마켓의 탑 연봉
플렉서블한 근무 시간","높은 근무 강도
경쟁은 없지만 기대받는 엄청난 높은 bar",연차가 높든 낮든 신경쓰지 않고 개인의 업무 자율성을 존중하는 문화. 능력 있는 동료들과의 만남.,좋게 말하자면 자유도가 높다는 것이고 나쁘게 말하자면 방목이나 다름 없을 정도로 체계가 부족하다는 문제가 있음. 능동적으로 문제 해결을 하는 데에 익숙한 사람들이라면 사실상 단점이 없다고 봐도 되지 않을까 함.
48,"새로운 기술 습득 적극 권장하는 문화.
수평적인 직급ㅇㅇ","일이 많은건 단점이자 장점같은데 대신 보상이 따라옴
이건 케바케","뛰어난 팀원들과 함께 공동의 목표를 나아감
자유로운 분위기","공동의 목표의 이유가 명확하지 않음
말바꾸기
약속 지키지 않기","사원을 가장 중요하게 생각하는 분위기, 서로 존중하는 분위기, 워라벨은 말할 것도 없는 100% 재택가능 회사","회사의 미래는 곧 일본에 있다는 점이 불안전 요소
경영진의 인사이트에 대해서는 큰 신뢰는 하지 않는 편이.","네임벨류
가끔씩 칼퇴가능
해고위험이없어 공무원느낌으로 다니면 최고의직장"," 낮은 연봉
그들만의 리그
회사의 성장은 직원의 성장이 아닙니다",우선 재택근무로 인해 팀원들이란 적당한 거리 유지 가능,"재택근무의 단점으로 소통이 너무 안된다..
일주일에 한두번 봐서 아직도 어색한","최상급 급여 책정
직원들과 사내 문화가 최상급 입니다.",커리어 개발을 하기가 어려우며 현재는 성장이 다소 정체된 상태.,"멋진동료들
개인의성장을 스스로 독려하게함
좋은 문화를 배울수있음","갑작스러운 마이크로매니징.
얼마나 오래다닐수 있을지 모르겠다","워라밸하나는 끝내줘요.
물론 부바부겠지만",음...... 일단 여기도 사람 잘 만나야해여 정말루 ,구멍이 없음. 최고의 인재가 뽑히고 와서 더 성장하는 곳.,일이 재밌는데 연봉도 많이 주고 복지도 좋고 자율성도 높아서 이래도 되나 싶음. 그래서 더 열심히 하게 됨,좋은 워라벨과 복지 제도. 자기 할 일만 잘 한다면 자유로운 근무 문화.,커리어를 쌓기 위해서는 명확한 성과와 그 외 프로젝트 진행 필요
49,"재택근무, 커피가 싸다, 밥을 준다, 에어컨이 좋다, 허먼밀러","주차장 자리가 적다, 일이 많다, 식사시간에 줄이 너무 길다.",복지나 근무 환경이 나쁘지 않다는 의견이 많아 보입니다.,경영진에 개선을 바라는 목소리와 의견이 많아 보입니다.,"재택근무, 유연근무 제도가 정말 좋음.
이정도 워라밸이면 따라올 회사 거의 없을 듯.
급여와 복지도 남부럽지 않다.",식비는 아쉬운 편. 그래도 다른 복지로 커버된다고 느끼긴 합니다.,월급은 인정. 밀리는거없이 잘 나오고 연차 사용 자유로움,월급만 좋고 그외 복지는 없음.. 사내대출이있음 좋겠음,"주32시간이 미친 강점
서로의 근무시간을 침범하는 일이 없음","역설적으로 서로 너무 배려해서 소통이 빙 둘러감
오롯이 내 일에 집중할 시간이 부족",인사고과에 임팩트에 중점을 둬서 평소에 늘 열심히 분골쇄신하며 일하지 않아도 요령 있게 워러밸을 추구하면서 자기 페이스에 맞춰 임팩트를 내는 방법을 터득하면 최고의 직장,"매뉴얼이 없는 경우가 많고 개척해나가야하는 분야도 많아서, 열심히 일하는 만큼 자기가 무슨 일을 왜 하고 있는지, 왜 중요한지, 어떤 임팩트를 낼 수 있는지 혹인 내고 있는지에 대해 끊임없이 업데이트 해야함","자율 재택
능력있고 사람 좋은 동료들
해외 엔지니어들과의 협업
자유로운 연차
클라우드 서비스 무제한 이용
역삼역 쾌적하고 세련된 사무실 키친","성과 압박
동료들과 무한 경쟁
열심히 하지 않으면 도태 가능성 높음
언어의 장벽도 무시 못함
국내 회사 처럼 바쁘고 한가하고 이렇지 않고 항상 바쁨
재택 근무를 많이 하다 보니 감금되서 일만 하는 기분
매달 성과 골 걱정","최고 수준의 급여 보상, 보너스, 합리적인 의사 결정, 유능한 동료","할 일이 너무 많고 바쁨, 잦은 출장으로 주말 부부 수주의 생활을해야 하는 경우가 있음","자기 역량만 출중하다면 정말 기량을 맘껏 펼칠 수 있음.
독특한 회사 문화가 자신에게 맞으면 다른 곳 보다 몇곱절 성장할 가능성이 많음. 예산으로 인한 제약이 없고 일단 근무하는데 필요한 것들은 무조건 지원 해주는 편. 근무 분위기가 자율적인 편. 회사 문화가 맞으면 더할나위 없이 만족할 곳.",본인이 한 일에 대해는 본인이 책임 지게 됨. 뭐든 지원해주는 대신 확실한 아웃풋을 스스로 내야 한다는 분위기가 있음. 회사 문화가 맞지 않으면 다니기 고역일 듯.,"영어 실력이 는다
네임 벨류가 높다
국제적인 규모의 프로젝트에 자유롭게 참여할 수 있다","영어 미팅이 많다
산업에서 쓰는 기술이 아니라 사내에서만 쓰는 기술을 쓰므로 고립될 수 있다
책임이 많이 따르므로 워라밸만 보고 들어오면 안 된다"
50,자유로운 분위기 수평적인 분위기라서 매우 만족하면서 다니고 있음,일이 조금 많이 많은데 사람을 충원해주지 않는 거 같다,워라벨. 자유로움. 괜찮은 네임벨류. 대부분 뛰어난 동료들.,경영진. 비전이 안보임. 남아있는 복지마저 뺏어가는중.,"이만하면 좋은 회사라 생각
워라밸, 급여, 커리어 측면에서 다 만족","윗자리는 실력보단 결국 인맥 우선인 듯
가끔 저 자리에 왜 있지 하는 답답한 사람도 있음","님 호칭 문화로 수평적인 분위기
잡다한 복지가 있긴함.","연봉이 너무적다 정규직인데 3천 초임
재택근무하는거 눈치줌","적극적이고 주도적으로 일하는 동료들
기본 연봉 높음
야근수당 확실","일이 너무 많음
변화가 너무 빠름
예전같지 않은 기업문화","빠른 연봉 상승 및 최고의 복지.
똑똑한 사람들과 일 할 기회가 많음.","알아서 찾아먹지 않으면 안 되는 회사.
개인기를 부릴 줄 알아야 하는 회사.","커리어, 나쁘지 않은 워라밸, 유연한 문화, 결과 위주의 업무 방식","주가에 따른 TC변화, 낮은 연봉상승폭, 시스템 보다는 개인 역량","지속적으로 성장중이고 기회가 아직은 많음
주식 취득과 수여 등 은근 쏠쏠한 혜택과 다양한 복지
자유로운 연차사용
칼같은 퇴근시간
오픈마인드의 리더쉽팀","너무 쪼개진 쉬프트로 인한 규칙성 없는 삶과 이로인한 워라밸 붕괴와 건강문제
애플의 최대장점인 특유의 문화가 조금씩 약해지는 분위기
적은 연봉","회사 컬처가 워낙 유명한데 실제로 서울 오피스에도 회사 컬처대로 자유와 책임으로 잘 운영되고 있음.
같이 일하는 직원들이 너무 훌륭하고 사람때문에 스트레스 받는 일이 없음.
사무실은 여태 봤던 사무실 중 최고이고, 자유와 책임의 문화 만큼 제공되는 굿즈, 푸드, 복지가 어마어마하게 많다.
연봉은 업계 최고로 대우 해주고


넷플릭스 라는 네임 밸류에서 오는 자부심도 있고 위치도 좋음. 그냥 다 좋음..
다들 이런데서 꼭 한번 일하고 싶다 생각해본 적 있었을텐데 그 이런데가 여기인듯..","큰 단점은 없다. 일은 좀 많아도 회사가 너무 좋고 직원들로 인해 스트레스 안받고 내가 좋아서 하게 됨. 재미있게.
입사할때 당시 인터뷰를 많이 봤던 건 힘든 경험.
하지만 그렇게 많은 인터뷰를 통해 인재들을 거르고 걸러서 입사시키는 것 같음.","모나지 않은 동료들, 커리어에 관심 많은 주변 환경으로 고민해볼 여지가 많음",그래도 로컬 법인이라는 한계점이 명확해서 할 수 있는 범위가 한정적임
51,"재택근무
높은 인지도
괜찮은 연봉
전체적으로 빠지는 거 없는 좋은 회사","본사 사옥 위치가 ...ㅠㅠ
그리고 일이 많은 편입니다","과거의 열정이 아직 남아있는 소수의 사람, 뛰어난 워라밸",경영진이 흐리고 있는 문화와 그에 영향받아 떨어져가는 모티베이션,"좋은 동료들, 나쁘지 않은 보수, 무엇보다 직원을 온전히 믿는 재택근무.",너무 많은 회의. 부서에 따라 너무 많은 업무량. 느린 업무 프로세스ㅡ,그나마 부바부 이긴 한데 연차가 자유롭긴 합니다 복지도 그래도 규모가 있는 회사여서 만족스러웠습니다,내 생활이 없다 이것도 부바부이긴 한데 영업관리 조직은 주말에도 사장님들한테 시달리느라 바쁘다 그리고 급여가 너무 노동 대비 급여가 아쉽다,지금까진 회사의 성장이 개인의 성장으로 느껴질만한 보상이 있었음,모기업이 어려움 경영진이 바뀌면서 많은것들이 변경되고 있음,"서로 존중하는 문화가 가장 맘에 들고, 똑똑한 사람들에게 둘러 쌓여 있어 배울 점이 많음","경력직 중심이라 주니어가 입사하기에는 힘들고, 규모가 작다보니 더이상 올라갈 곳이 없음","좋은 동료
게으르면 큰일
회사 위치 새 건물 친절한 직원들","복지가 없음
모든지 태깅하고 트랙킹하는 것
Rsu 받으려면 2년 지나야 함","네임벨류, 몇가지의 복지 , 배울수있고 좋은동료들 ..","정치질 , 시기, 질투, 선의의 피드백이라지만 선의의도 없음",괜찮은 처우 및 뛰어난 동료들 많음. 아웃풋만 잘 나오면 워라밸 보장됨.,높은 연봉만큼 일 빡세고 꾸준히 아웃풋 내야함. 매년 360 리뷰 잘받으려면 동료와 협업 중요함.,"워라벨과 분위기는 좋습니다, 밥도 맛이있고 다른 팀과 협업할수 있는 기회가 많습니다.",언제 짤릴지 몰라서 불안한 느낌..최근에 많이 짤리시면서 조금 분위기가 이상합니다.
52,"반박불가 국내 IT업계 최고수준의 인력풀
복지, 보상 준수
높은 근무자유도(자율근무, 풀 재택근무 가능)
쾌적한 사옥 등..
모든 면에서 빠지는 것 없이 균형있게 좋은 회사","경쟁적인 분위기(경쟁을 싫어하는 사람에겐 잘 안맞을지도)
대기업화 되면서 대기업의 특징과 IT회사의 특징이 섞이면서 관료주의도 아니고 완전한 수평문화도 아닌.. 네이버만의 분위기가 있음",같이 일하는 동료들이 정말 좋다. 팀이나 회사의 분위기에 맞는 사람들만 귀신같이 뽑는 것 같다.,회사 분위기가 안 좋은데 어떻게 나아질지에 대한 방법을 딱히 알려주진 않는 것 같다.,재택이 최고의 복지라고 생각됨. 의견도 자유롭게 낼 수 있고 업무 환경도 좋은편,경영진의 방향성이 자주 바뀌어 업무가 끊이없이 들어옴,"일을 많이 할수있다
업무에 파묻혀 살수있다
하루24시간이 모자르다는 느낌을 받을수 있다
항상 쫓기는 느낌을 받을수 있다","인도 중국 미국은 천상계, 한국인들은 수드라가 되었다
한국 새벽시간에도 울려대는 슬랙 호출, 줌 회의
한국에서 한국인이 외국인노동자 체험이 가능하다","친절하고 빠른 커뮤니케이션
우수한 보상
배울 점이 많은 역량 높은 구성원
(경험해본 대기업들에 비해) 경영진의 적극적인 소통","부바부가 심하다고 들었음 (위 장점을 느낄 수 없는 부서가 있을 수 있음)
모회사 리스크
기존 주요 경영진 이탈",급여나 복지는 업계 최고 수준입니다. 다른 외국계에 비해서도 높은편입니다.,"자기가 자기성과 잘 챙겨먹어야하고 미국과 같은 팀일 경우 이른 아침콜은 생활이됩니다. 글로벌회사라지만 어차피 미국회사이기에 동양, 그것도 한국 오피스의 삶은 좀 고달픕니다. 인종차별이라기 보다는 마켓의 규모가 너무 작아서 목소리 내기가 쉽지 않아요.","좋은 문화: 확실한 상호존중, 배려, 인정, 사실에 기반한 의사판단
좋은 사람: 성숙도가 높은 능력자집단",알려진 바와 달리 급여 수준이 높지 않고 복지가 거의 없음,매니저가 한국에 없으니 상사로 인해 오는 스트레스가 확실히 덜함. 내 할일만 잘 하면 업무 시간 유동적으로 활용가능. 컨설턴트나 파트너들이랑 잘 지내놓으면 내 일이 좀 편해짐.,"미국, APAC 국가들과 일하니 미팅 시간이 이른 아침이나 늦은 밤일 경우가 종종 있음.",,,"자유로운 워라밸, 무난한 급여, 친근한 직장동료, 좋은 복지","혼합된 사내문화 (국내 대기업화된 구글 느낌), 업무의 비체계성"
53,"개인주의적이라 별달리 터치 안함
뛰어난 동료들이 많아서 보고 배우기 좋음","수평적 구조와 수직적 구조의 단점만 섞여있음
대기업이라 쓸데 없는 보고 많음","똑똑하고 일 잘하는 동료들
쿵하면 짝할 수 있는 황금 동료가 사방에 있다","잦은 경영진과 회사 운영 방침의 변경. 큰 방향성의 부재
일만 하고 싶은데 신경 쓸 외부 요인이 많음","재택근무가 기본이며, 시차 3시간 이내 해외 워케이션 가능",일이 많은 것에 비해 직원의 수가 부족함. 매일 진행하는 일이 바뀌는 변수도 적지 않음.,"다른회사 5년치 일을 1년안에 경험할수있음
국내 대기업대비 다소 유연한 분위기
재택근무
역량있는 팀원들이 많음","워라밸 없음
프로세스가 매번 바뀜
뭐하나 물어보려고해도 어느팀이 담당하는지 모름","기업문화가 우선 우수함. 경영진들도 많이 노력하고 있고, 아직까지 재택근무라서 이 점이 정말 큰 장점이다. 다만 언제 다시 풀릴지는 모르겠음. 현재 팀 사람들도 좋아 만족하며 다니는 중",사업 방향을 제대로 못잡고 사업때문에 유저에 대한 고려를 많이 안하는 방향으로 가고 있음.,"최고의 복지. 의료비, 배움, 마사지, 운동 등등 비용이 지원됨
사내 커뮤니케이션이 상식적임 (소리지르거나 윽박지르는 그런 케이스는 잘 없음)
상사나 회사에 대한 360도 평가 결과를 회사에서 중요하게 생각함","자신이 알아서 일을 찾아서 해야함
미국 회사다 보니 자신이 한 일을 잘 어필하는 게 필요함
외향적인 사람에게 잘 맞는 회사 문화
체계적이고 형태가 잡혀있는 것이 없고 정돈되어 있지 않음",다양한 산업을 접하고 좋은 동료들을 만날수있음. 커리어 개발에 이만한데가 있을까,워라밸 없음. 좋은 동료들이 주는 프레셔가 상당함. 얼마나다닐지 모르겠음,스스로 찾아서 만들어가도록 하는 자유도 높은 문화. 자랑스런 브랜드와 제품. 시총 1위의 안정성,해외 지사의 한계. 은근 보수적인 면. 매니저에 따라 분위기가 휙 바뀌기도 함.,,,"좋은 동료
그래도 괜찮은 여러 복지
글로벌 오피스로의 기회",상대적 역차별 엄청남 it국내기업대비 메리트가 뭔지 잘 모르겠다
54,팀바팀 사바사지만 일을 잘하면 대부분 문제가 없었어요.,실무능력과 커뮤니케이션 능력과 좋은 인성을 가진 리더를 만나지 않으면 답답한 회사,"수평문화, 자율성. 내가 원하면 꽤 많은 일을 해낼 수 있음. 개선에 열려있다.",업무 진행여부에 대한 명확한 공유가 안됨. 체계가 없음. 일에 대한 보상 적음.,부바부지만 워라밸 좋은 편이고 재택근무제를 채용하고 있어서 굉장히 만족스러움,개인적인 생각으로는 없는 편 같지만 굳이 꼽자면 스스로 찾아서 성장해야 한다는 점이 누군가에겐 어려울 수도,"변화가 많음
직원들을 위해 이것저것 노력하는게 눈에보임","직원들은
다 중소기업 마인드 내팀 남팀
가리고
경영진들은 계속 발전하려 하는데
직원들이 불만이
많고 발목잡음","야근 하는 만큼 수당이 나온다.
협업하기가 그래도 타회사 대비 나쁘지않다.","사람을 갈아넣는다.
워라벨 챙길순 있지만.. 기한이 그렇게 두지 않는다.","아무래도 테크 회사다 보니
빠르고 투명하게 업무가 처리가 된다.
동료들 모두 스마트 하고 매너가 좋아 일할 맛이 남.
문화적으로 매우 수준이 높아 놀람.
연봉 복지 rsu 한국 회사와 비교 안될 정도로 좋음.","테크회사의 단점 이기도 한데
모든 성과가 숫자로 정확하게 나옴.
일을 스스로 만들거나 찾지 않으면 잉여인간이 되어 버리기 쉬움.
똑똑한 사람들과 경쟁 하는게 버거울 때도 있음.","배울 점이 있는 동료들
도움되는 커리어
팀바팀이지만 좋은 문화","워라밸은 없어요
보상도 조금 애매할 수도 있어요
아마존 컬쳐를 이해못하는 LT","복지가 좋고 다양한 사람들이랑 일 할 수 있음
잘릴 걱정 안해도 됨","진급 기회가 거의 없고
회사 안에서도 이직하기 어려운 편",,,"똑똑한 동료들과 함께 일 할 수 있는 점
수평적인 문화
아침/점심/커피 무료
사내 다양한 문화 행사","전형적인 미국회사로 수익이 안 나오면 정리
승진을 하기 위해서는 굉장히 쇼업 잘 해야함
업무 그레이 영역이 생각보다 많음"
55,"재택을 아슬아슬하게 유지해주는 회사.
워라밸은 부바부인듯.","고인물들이 많고 혁신과는 거리가 멀다.
안정적인걸 좋아하면 괜찮을듯","베네핏 카드가 있다
구내식당이 있다 (이마저도 품절이 빠름)",체계 없어서 힘들다 엥?의 연속인 업무들 인력 부족,"워라벨 보장
연차 눈치 안보고 쓸 수 있음
풀 재택근무 짱 유연근무제 최고",성장할 수 있는 방법은 대부분 알아서 찾아야 함. 게으른 사람은 도태될 것임,밥이 맛있다. 조식 석식 무료라서 좋고 사내카페도 저렴하게 이용 가능하다.,"쿠팡 캐시백 복지, 대기업 치곤 임직원 복지라는게 크게 없는 느낌이다.",OT칼같이 챙겨줌 언제까지 가능할지.. 기혼자한테 좋은 복지 많음,기존 인원 혹은 경영진 인맥만 승진 혹은 좋은 평가 받음,주위를 둘러보면 죄다 잘난 사람들뿐이라 나도 그렇다고 생각하게 됨,그게 착각임을 곧 알게됨. 피똥싸게 일하지 않으면 따라가기 버겁다,좋은 동료. 신기술을 습득할 수 있는 곳. 다양한 커뮤니케이션을 할수 있는 곳,"개인이 알아서 파악하고 진행해야 해서, 초기 적응이 어려움",워라벨은 좋지 않지만 적응만 한다면 괜찮을 것 같고 담당 업무만 잘하면 인정을 받을 수 있으며 사내문화가 좋습니다,워라벨이 부서바이부서이고 바쁜 부서는 진짜 많니 바쁨. 그리고 비밀주의 때문에 담당부서 아니면 아무것도 알수가 없음,,,워라벨은 최대한 보장됩니다. 개인생활 보장이 잘 되서 삶의 질이 좋아집니다.,한국이 변방이다보니 한계가 명확합니다. 성장에는 캡이 있다고 느낄수도 있습니다.
56,"리더 달기 전까지 배움의 환경 너무 좋음
오피스 식사 매우 괜찮음","리더 단 후의 성장 트랙이 불투명함
임원 승진이 남아 있지만 원하지 않음","팀바팀이겠지만, 제가 속한 팀은 정말 수평적이어서 좋았어요. 꼰대도 없고, 나이 상관없이 모두가 평등한 느낌이어서 좋았어요!",커뮤니케이션이 잘 안됨. 소통하면서 일을 해야 되는데 소통오류로 누락되는 정보가 많았음.,"안정적인 직장생활, 똑똑한 동료들, 워라벨 존중, 빵빵한 복지혜택","실험적인 도전이 적은 편, 일본으로 주요 프로젝트가 넘어갈 수 밖에 없는 상황
업무에 대한 아쉬움, 지사로서의 아쉬움, 성장에 대한 아쉬움","휴가 대체적으로 사용 쉬움
재택근무 아직까지 조금 함.","탑에서 일방적으로 정하면 무조건 무리한 스케줄이라도 맞춰야 하는 회사
회사의 방향성에 대한 직원들에 대한 안내 전혀 없음
직원 평가에 대한 객관적이지 않은 시스템
업무에 있어서 한국시장을 고려하지 않은 아마존만 따라하는 회사","복지제도. 분단위로 나오는 연장근무수당.
인성좋고 역량좋은 사람들","대체적으로 다들 업무속도가 빠름
경쟁대응으로 인한 치열함",돈은 그래도 나쁘지 않게 줌. 뭐 패북 다닌다면 주변에서 반응은 좋음 (결국 그냥 대기업이지만),왜케 다들 경쟁적임? 사람들 무서워요 스트레스 워라벨 없고 직업의 안정성도 없음,높은 급여와 좋은 회사 문화. 새로운 기술에 대해 빠르게 접할 수 있음,자율적이기 때문에 알아서 열심히 해야됨. 고용안정성이 좀 떨어짐,살면서 이제껏 봤던 그 어느집단보다 야무지고 똑똑하고 인성좋은 사람들이 많은 회사.,꽤나 보수적인 제도. 새로운 시도를 거의 할수없음(제안은 가능하나 검토 후 불가능하다는 답변 받을경우가 많음),,,동료들의 퀄리티가 좋고 여러 롤모델이 있다는 것은 큰 장점,예전과 달리 대기업화 되는 과정에서 직원에 대한 배려가 줄어들고 있으나… 그래도 좋은 편
57,"재택근무 가능하다는 점이 가장 큰 장점, 그 외 기타 복지",사내에 개인주의적인 분위기가 형성되어 있어서 적응하기 어려울 수 있음,동료가 좋다. 일 하기 편하다. 성장도 꾸준히 느낄 수 있다.,경영진과 인사는 동료가 아닙니다. 근거없는 의사결정으로 실무자들 의욕을 떨기는것이 실적이 아닐까 생각됨.,"뛰어난 분들이 많아 배우고 성장하기에 좋다
특히 저연차에게 좋은 회사인 것 같다","업무 절차가 상당히 복잡하다
워라밸보단 살짝 워크에 기울어진 점이 없지 않아 있다","비교적? 자유로운 출퇴근, 재택, 이직 시 연봉 인상, 본일 일만 열심히 하면 큰 문제 없음, 공짜 아침 저녁 등","식대에 비해 형편없는 구내 식당(중식), 부서마다 다를 수도 있지만 업무가 줄어들지 않음 할 일이 무궁무진함, 시간은 잘감), 외국계기업이라 그런지 일 못하면 그냥 아웃됨","주32시간과 비포괄, 모자라지 않은 복지제도
재택, 사무실을 자유롭게 선택하는 근무제도","길을 찾지 못하는 업무 커리어
현재는 괜찮지만 앞으로 미래의 먹거리가 남아있을지 걱정","문화부터 모든 것이 좋습니다.
동료들이 정말 똑똑하여 배울점이 많습니다.",너무 좋아서 단점이 딱히 없습니다. 앞으로도 잘 부탁드립니다.,아마존이라는 글로벌 it기업에서 다닌 다는 프라이드가 있어서 좋음,스타트업같이 일하는 느낌임.. 확실히 급격하게 성장해서 그런지 체계가 있는듯 없는듯. 넘나 바쁨.,"애플이라는 브랜딩에서 오는 자부심
주식 가치 상승
친절한 본사 직원들","정체된 매니저 라인
본사의 막강한 영향력
업무 강도",,,근무 형태가 재택이라 좋았지만 곧 어떻게 될지 모르기때문에..,몇몇 안되는 부서에서 시니어가 진짜 별로.. 뒷담까는거 최악
58,"다양한 경험과 기술을 배울수 있습니다:
특히 테크핀 경험은 너무 좋습니다.",전자금융법 제약으로 불편한 지점이 많습니다. 망분리 환경에 적응에 어렵습니다.,"사람들이 좋고, 근무 시간이 유연함
복지가 다양하고 문화가 좋음
능력있는 분들이 많이 배울 점이 많음","경영진, 열심히 일하는 크루 위에서 경영진들이 문제 일으키고다님",재택근무가 유지되고 있음. 재택근무가 최고의 복지. 모두가 만족하는 근무 형태,"일본 위주의 업무가 많으며, 성장의 어려움이 큼.
팀바팀 분위기 크게 다른 경우가 많음.","커리어 향상, 회사 네임 벨류로 이직 가능성, 성장 가능성","끌어줄 리더 부재 사공이 많아 산으로 감
최상위 조직장의 능력 부족 너무 많은 프로젝트","주32시간제
풀재택
분단위야근수당
도서비 무제한 지원","새로운 경영진이 비용절감을 위해 복지를 점차 없애려고 함
끊임없이 내려오는 탑다운 과제로 기술적인 성장이 어려움
개발중인 과제도 멈춰버리고 뒤엎는 경우가 빈번함",자율에 맡기고 직원을 최우선으로 생각함. 수평적이면서도 성과 압박을 통해서 성취감 실현,아무도 업무를 주지 않음. 알아서 개척해 나가야함. 너무 다 똑똑함,"한국기업에서 이 정도 경험을 할 수 있는 곳은 없다고 생각함.
개인 역량측면에서 최고의 회사인 것은 분명
평균이상의 연봉
엄청난 사람들...! 테크 논테크에 따라 상이함","예전만큼의 열정이 보이지 않음
엄청난 사람들을 담지 못하는 경영진도 문제
이에 실망해서 떠나는 사람들이 많아짐","훌륭한 동로들이 열심히 일한다
세계 최고의 기업
애플 제품과 서비스","나도 훌륭하고 열심히 일하는 사람이여야한다
높은 수준의 디테일을 요구한다",,,"네임 밸류가 높다는 게 가장 큰 장점
아침 점심 제공
재택/출근 병행 가능
회사 문화","팀마다 다르겠지만 전반적으로 워라밸 안좋음
급여 인상도 생각보다 높지 않음"
